,Dot-com,Housing,Current
VIX,-0.32563034330476076,-0.4021387470294593,-0.6321346192145615
Leverage Subindex,-0.12032675601194644,0.22249554715792605,0.1697441570700347
Bank Tightening Standards,0.10624014958018546,-0.10649856975132065,0.25972293304672806
